transaction_id,scenario,manual_review,notes
TXN-00001,SUCCESS,False,Settlement completed normally.
TXN-00002,UNCLASSIFIED,True,Conflicting values intentionally created for manual review.
TXN-00003,SUCCESS,False,Settlement completed normally.
TXN-00004,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00005,SUCCESS,False,Settlement completed normally.
TXN-00006,SUCCESS,False,Settlement completed normally.
TXN-00007,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00008,DUPLICATE_UTR,False,UTR is shared with TXN-00083.
TXN-00009,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00010,SUCCESS,False,Settlement completed normally.
TXN-00011,SUCCESS,False,Settlement completed normally.
TXN-00012,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00013,SUCCESS,False,Settlement completed normally.
TXN-00014,SUCCESS,False,Settlement completed normally.
TXN-00015,SUCCESS,False,Settlement completed normally.
TXN-00016,SUCCESS,False,Settlement completed normally.
TXN-00017,SUCCESS,False,Settlement completed normally.
TXN-00018,SUCCESS,False,Settlement completed normally.
TXN-00019,SUCCESS,False,Settlement completed normally.
TXN-00020,PARTIAL_SETTLEMENT,False,Only part of the expected settlement amount was credited.
TXN-00021,DUPLICATE_UTR,False,UTR is shared with TXN-00052.
TXN-00022,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
TXN-00023,PARTIAL_SETTLEMENT,False,Only part of the expected settlement amount was credited.
TXN-00024,SUCCESS,False,Settlement completed normally.
TXN-00025,SUCCESS,False,Settlement completed normally.
TXN-00026,SUCCESS,False,Settlement completed normally.
TXN-00027,SUCCESS,False,Settlement completed normally.
TXN-00028,DUPLICATE_UTR,False,UTR is shared with TXN-00069.
TXN-00029,SUCCESS,False,Settlement completed normally.
TXN-00030,PARTIAL_SETTLEMENT,False,Only part of the expected settlement amount was credited.
TXN-00031,BANK_DELAY,False,"Gateway succeeded, but bank settlement is delayed."
TXN-00032,SUCCESS,False,Settlement completed normally.
TXN-00033,SUCCESS,False,Settlement completed normally.
TXN-00034,SUCCESS,False,Settlement completed normally.
TXN-00035,SUCCESS,False,Settlement completed normally.
TXN-00036,SUCCESS,False,Settlement completed normally.
TXN-00037,SUCCESS,False,Settlement completed normally.
TXN-00038,SUCCESS,False,Settlement completed normally.
TXN-00039,SUCCESS,False,Settlement completed normally.
TXN-00040,MISSING_BANK_RECORD,False,No corresponding bank settlement record exists.
TXN-00041,PARTIAL_SETTLEMENT,False,Only part of the expected settlement amount was credited.
TXN-00042,AMOUNT_MISMATCH,False,Bank credited a different amount than expected.
